,year,country
1,1986,Greece
2,1896,United States
3,1896,Germany
4,1896,France
5,1896,United Kingdom
6,1896,Denmark
7,1896,Hungary
8,1896,Austria
10,1896,Switzerland
11,1896,Australia
12,1900,Belgium
13,1900,Norway
14,1900,Italy
15,1900,Netherlands
16,1900,India
18,1900,Canada
19,1900,Cuba
20,1900,Spain
21,1900,Mexico
22,1900,Sweden
23,1906,Finland
25,1908,Russia
26,1908,South Africa
27,1920,Brazil
28,1920,Estonia
30,1920,Japan
31,1920,Luxembourg
32,1920,New Zealand
33,1924,Argentina
34,1924,Ireland
35,1924,Poland
37,1924,Haiti
38,1924,Monaco
39,1924,Portugal
40,1924,Romania
41,1924,Uruguay
43,1928,Egypt
44,1928,Chile
45,1928,Philippines
46,1932,Latvia
47,1936,Turkey
49,1948,Jamaica
50,1948,India
51,1948,South Korea
52,1948,Panama
53,1948,Iran
54,1948,Peru
55,1948,Puerto Rico
56,1948,Sri Lanka
57,1948,Trinidad & Tobago
59,1952,Lebanon
60,1952,Bulgaria
61,1952,Venezuela
62,1956,Bahamas
63,1956,Iceland
64,1956,Pakistan
66,1960,Ethiopia
67,1960,Ghana
68,1960,Iraq
69,1960,Morocco
70,1960,Singapore
71,1960,Taiwan
72,1964,Tunisia
73,1964,Kenya
74,1964,Nigeria
77,1968,Mongolia
78,1968,Uganda
79,1968,Cameroon
80,1972,North Korea
81,1972,Colombia
82,1972,Niger
83,1976,Bermuda
84,1976,Thailand
85,1980,Tanzania
86,1980,Guyana
87,1980,Zimbabwe
88,1984,China
89,1984,Algeria
90,1984,Ivory Coast
91,1984,Dominican Rep.
92,1984,Syria
93,1984,Zambia
95,1988,Costa Rica
96,1988,Djibouti
97,1988,Indonesia
98,1988,Virgin Islands US
99,1988,Senegal
100,1988,Suriname
101,1992,Czech Rep.
102,1992,Croatia
104,1992,Israel
105,1992,Lithuania
106,1992,Namibia
108,1992,Slovenia
109,1992,Malaysia
110,1992,Qatar
111,1996,Ukraine
112,1996,Belarus
113,1996,Kazakhstan
114,1996,Slovak Rep.
115,1996,Armenia
116,1996,Georgia
117,1996,Moldova
118,1996,Uzbekistan
119,1996,Azerbaijan
120,1996,Burundi
121,1996,Ecuador
122,1996,Hong Kong
123,1996,Mozambique
124,1996,Tonga
125,2000,Saudi Arabia
126,2000,Barbados
127,2000,Kyrgyzstan
128,2000,Kuwait
129,2000,Macedonia
130,2000,Vietnam
131,2004,Eritrea
132,2004,Paraguay
133,2004,United Arab Emirates
134,2008,Serbia
135,2008,Tajikistan
136,2008,Afghanistan
137,2008,Bahrain
138,2008,Mauritius
139,2008,Sudan
140,2008,Togo
